BFS;Stadt;Jahr;Finanzvermögen;Verwaltungsvermögen;Fremdkapital;Eigenkapital
6711;Delémont;2019;66502;75961;138525;3938
1054;Ebikon;2019;57983;61228;89886;29324
5635;Ecublens (VD);2019;30198;69135;46893;52440
3402;Flawil;2019;38374;27073;31438;34009
5721;Gland;2019;36204;58494;79509;15189
1632;Glarus;2019;53121;37264;30160;60226
117;Hinwil;2019;46928;33546;36495;43978
1058;Horw;2019;141724;209078;138425;212377
362;Ittigen;2019;78871;35742;66945;47668
154;Küsnacht (ZH);2019;236259;286822;336549;186531
5889;La Tour-de-Peilz;2019;45787;29572;52031;23327
6623;Le Grand-Saconnex;2019;64949;88322;49701;103570
6436;Le Locle;2019;109592;191422;129335;171678
4201;Lenzburg;2019;56053;187507;47560;196000
2829;Liestal;2019;58425;42383;65711;35097
155;Männedorf;2019;65500;149031;68855;145676
156;Meilen;2019;163337;192415;148160;207592
5254;Mendrisio;2019;103103;99653;180674;22082
4254;Möhlin;2019;52691;140362;51595;141457
546;Münchenbuchsee;2019;33090;35756;18352;50495
2769;Münchenstein;2019;102285;46140;69764;78661
616;Münsingen;2019;39700;32682;27715;44667
356;Muri bei Bern;2019;90520;39425;66690;63255
2937;Neuhausen am Rheinfall;2019;46649;62202;91717;17134
2771;Oberwil (BL);2019;56816;45334;35168;66982
4280;Oftringen;2019;43968;161351;73793;131526
5822;Payerne;2019;44765;32385;56501;20650
177;Pfäffikon;2019;55220;92194;40132;107282
6633;Plan-les-Ouates;2019;419359;138368;118092;439635
5589;Prilly;2019;25214;66060;85496;5778
4258;Rheinfelden;2019;127732;224524;31563;320694
138;Richterswil;2019;57061;52917;41706;68272
1707;Risch;2019;61741;22706;5898;78549
4436;Romanshorn;2019;59949;42687;72704;29932
118;Rüti (ZH);2019;80973;75971;63363;93581
1407;Sarnen;2019;39219;38402;14556;63065
768;Spiez;2019;56967;28667;34140;51494
4040;Spreitenbach;2019;49425;149764;56204;142985
158;Stäfa;2019;96220;193942;43522;246641
1708;Steinhausen;2019;102357;58250;52572;108035
4012;Suhr;2019;38248;163239;50196;151290
1103;Sursee;2019;73725;134008;96573;111160
6640;Thônex;2019;137366;107882;68263;176985
250;Urdorf;2019;57211;53075;54542;55745
3408;Uzwil;2019;58156;40568;48630;50094
6644;Versoix;2019;74814;57357;53685;78486
2228;Villars-sur-Glâne;2019;34040;77526;109521;2045
4946;Weinfelden;2019;40248;74715;67413;47550
627;Worb;2019;37249;31378;26222;42405
4289;Zofingen;2019;64113;208898;109388;163623
361;Zollikofen;2019;48045;25243;20961;52328
161;Zollikon;2019;123731;204648;117790;210588
1201;Altdorf (UR);2019;15242;19684;20170;14755
3101;Appenzell;2019;3853;2214;2344;3722
2763;Arlesheim;2019;55017;40933;42992;52957
3921;Arosa;2019;45542;81654;33981;93215
5624;Bussigny;2019;36427;22530;30725;28232
5250;Chiasso;2019;52549;63703;98358;17894
5583;Crissier;2019;42380;34444;38673;38150
581;Interlaken;2019;39068;32932;31948;40051
723;La Neuveville;2019;21553;17606;14608;24551
700;Moutier;2019;41521;29732;54280;16972
2275;Murten;2019;34329;85324;52854;66800
3215;Porrentruy;2019;31372;48856;79198;1030
3787;Rorschach;2019;65426;121872;68584;118715
1509;St. Moritz;2019;100291;167734;18843;249182
6297;Stans;2019;18230;45443;24809;38864
1151;Visp;2019;36113;36914;55014;18014
6300;Zermatt;2019;55262;63004;31074;87191
2534;Zuchwil;2019;30838;36095;36995;29939
